ID,Name,Strength,Generic Name,Manufactured by,Unit Price
39,A-Fenac Plus,(75 mg+20 mg)/2 ml,Diclofenac Sodium + Lidocaine Hydrochloride,ACME Laboratories Ltd.,2 ml ampoule : ৳ 14.10
40,A-Fenac SR,100 mg,Diclofenac Sodium,ACME Laboratories Ltd.,Unit Price : ৳ 3.01
41,A-Flox,250 mg/vial,Flucloxacillin Sodium,ACME Laboratories Ltd.,250 mg vial : ৳ 35.25
42,A-Flox,500 mg/vial,Flucloxacillin Sodium,ACME Laboratories Ltd.,500 mg vial : ৳ 45.30
43,A-Flox,250 mg,Flucloxacillin Sodium,ACME Laboratories Ltd.,Unit Price : ৳ 5.66
44,A-Flox,500 mg,Flucloxacillin Sodium,ACME Laboratories Ltd.,Unit Price : ৳ 10.58
45,A-Flox,125 mg/5 ml,Flucloxacillin Sodium,ACME Laboratories Ltd.,100 ml bottle : ৳ 61.61
46,A-Forte,50000 IU,Vitamin A,Globe Pharmaceuticals Ltd.,Unit Price : ৳ 1.90
47,A-Kit,200 mg+200 mcg,Mifepristone + Misoprostol,ACME Laboratories Ltd.,5 tablet kit : ৳ 300.00
48,A-Meb,135 mg,Mebeverine Hydrochloride,ACME Laboratories Ltd.,Unit Price : ৳ 6.01
49,A-Mectin,6 mg,Ivermectin (Tablet),ACME Laboratories Ltd.,Unit Price : ৳ 15.00
50,A-Mectin,12 mg,Ivermectin (Tablet),ACME Laboratories Ltd.,Unit Price : ৳ 30.00
51,A-Mectin Plus,(10 mg+100 mg)/ml,Ivermectin + Clorsulon,ACME Laboratories Ltd.,5 ml vial : ৳ 75.20
52,A-Mectin Vet,10 mg/ml,Ivermectin (Oral Solution),ACME Laboratories Ltd.,100 ml bottle : ৳ 105.00
53,A-Mectin Vet,10 mg/ml,Ivermectin (Injection),ACME Laboratories Ltd.,5 ml vial : ৳ 60.40
54,A-Mectin Vet,5 mg/ml,Ivermectin (Topical),ACME Laboratories Ltd.,15 ml bottle : ৳ 42.00
55,A-Migel,2% w/w,Miconazole Nitrate (Oral Gel),ACME Laboratories Ltd.,15 gm tube : ৳ 52.16
56,A-Mycin,500 mg,Erythromycin (Oral),Aristopharma Ltd.,Unit Price : ৳ 9.00
57,A-Mycin,250 mg,Erythromycin (Oral),Aristopharma Ltd.,Unit Price : ৳ 5.15
58,A-Mycin,3%,Erythromycin (Lotion),Aristopharma Ltd.,25 ml bottle : ৳ 120.00
59,A-Mycin,125 mg/5 ml,Erythromycin (Oral),Aristopharma Ltd.,100 ml bottle : ৳ 84.75
60,A-Mycin,200 mg/5 ml,Erythromycin (Oral),Aristopharma Ltd.,60 ml drop : ৳ 60.00
61,A-Mycin,250 mg/5 ml,Erythromycin (Oral),Aristopharma Ltd.,100 ml bottle : ৳ 100.00
62,A-One,120 mg/5 ml,Paracetamol,Apex Pharmaceuticals Ltd.,60 ml bottle : ৳ 20.59
63,A-One Plus,500 mg+65 mg,Paracetamol + Caffeine,Apex Pharmaceuticals Ltd.,Unit Price : ৳ 1.50
64,A-One XR,665 mg,Paracetamol,Apex Pharmaceuticals Ltd.,Unit Price : ৳ 1.51
65,A-Pak,100 mg,Aceclofenac,Benham Pharmaceuticals Ltd.,Unit Price : ৳ 4.00
66,A-Phenicol,0.50%,Chloramphenicol (Ophthalmic),ACME Laboratories Ltd.,10 ml drop : ৳ 34.50
67,A-Phenicol,1%,Chloramphenicol (Ophthalmic),ACME Laboratories Ltd.,5 gm tube : ৳ 11.70
68,A-Phenicol D,0.1%+0.5%,Dexamethasone + Chloramphenicol,ACME Laboratories Ltd.,5 ml drop : ৳ 70.21
69,A-Rox,50 mg/5 ml,Roxithromycin,Ambee Pharmaceuticals Ltd.,50 ml bottle : ৳ 45.14
70,A-Rox,150 mg,Roxithromycin,Ambee Pharmaceuticals Ltd.,Unit Price : ৳ 6.53
71,A-Rox,300 mg,Roxithromycin,Ambee Pharmaceuticals Ltd.,Unit Price : ৳ 11.04
72,A-Sol Vet,(100 mg+0.05 mg)/ml,Butaphosphan + Cyanocobalamin,ACME Laboratories Ltd.,30 ml vial : ৳ 151.00
73,A-Spasm,5 mg,Oxyphenonium Bromide,ACME Laboratories Ltd.,Unit Price : ৳ 1.44
74,A-Tetra,1%,Tetracycline Hydrochloride (Ophthalmic),ACME Laboratories Ltd.,3.5 gm tube : ৳ 8.50
75,A-Tetra,500 mg,Tetracycline Hydrochloride (Oral),ACME Laboratories Ltd.,Unit Price : ৳ 3.39
76,A-Tetra,500 mg,Tetracycline Hydrochloride (Oral),ACME Laboratories Ltd.,Unit Price : ৳ 2.30
77,A-Zyme,325 mg,Pancreatin,ACME Laboratories Ltd.,Unit Price : ৳ 3.51
78,AB Kit,200 mg+200 mcg,Mifepristone + Misoprostol,Renata Limited,5 tablet kit : ৳ 300.00
79,AB-DS,400 mg,Albendazole,Prime Pharmaceuticals Ltd.,Unit Price : ৳ 3.00
80,Abac,125 mg/1.25 ml,Cephradine,Chemist Laboratories Ltd.,15 ml bottle : ৳ 50.00
81,Abac,500 mg,Cephradine,Chemist Laboratories Ltd.,Unit Price : ৳ 12.50
82,Abac,125 mg/5 ml,Cephradine,Chemist Laboratories Ltd.,100 ml bottle : ৳ 81.92
83,Abaclor,500 mg,Cefaclor Monohydrate,ACI Limited,Unit Price : ৳ 40.27
84,Abaclor,125 mg/5 ml,Cefaclor Monohydrate,ACI Limited,100 ml bottle : ৳ 201.35
85,Abaclor,125 mg/1.25 ml,Cefaclor Monohydrate,ACI Limited,15 ml bottle : ৳ 125.85
86,Abaclor,250 mg,Cefaclor Monohydrate,ACI Limited,Unit Price : ৳ 21.16
87,Abasaglar,100 IU/ml,Insulin Glargine [rDNA],Healthcare Pharmaceuticals Ltd.,"3 ml pen : ৳ 1,085.00"
88,Abasaglar,100 IU/ml,Insulin Glargine [rDNA],Healthcare Pharmaceuticals Ltd.,3 ml cartridge : ৳ 723.40
89,Abdorin,10 mg,Dicycloverine Hydrochloride,Opsonin Pharma Ltd.,Unit Price : ৳ 2.01
90,Abdorin,10 mg/5 ml,Dicycloverine Hydrochloride,Opsonin Pharma Ltd.,50 ml bottle : ৳ 30.11
91,Abecab,5 mg+40 mg,Amlodipine Besilate + Olmesartan Medoxomil,ACI Limited,Unit Price : ৳ 19.00
92,Abecab,5 mg+20 mg,Amlodipine Besilate + Olmesartan Medoxomil,ACI Limited,Unit Price : ৳ 12.00
93,Aben-DS,400 mg,Albendazole,Team Pharmaceuticals Ltd.,Unit Price : ৳ 4.50
94,Abentel,400 mg,Albendazole,Aristopharma Ltd.,Unit Price : ৳ 5.00
95,Abetis,40 mg,Olmesartan Medoxomil,ACI Limited,Unit Price : ৳ 18.00
96,Abetis,10 mg,Olmesartan Medoxomil,ACI Limited,Unit Price : ৳ 6.00
97,Abetis,20 mg,Olmesartan Medoxomil,ACI Limited,Unit Price : ৳ 10.00
98,Abetis Plus,40 mg+12.5 mg,Olmesartan Medoxomil + Hydrochlorothiazide,ACI Limited,Unit Price : ৳ 15.00
99,Abetis Plus,20 mg+12.5 mg,Olmesartan Medoxomil + Hydrochlorothiazide,ACI Limited,Unit Price : ৳ 10.00
100,Abex,(30 mg+100 mg+1.25 mg)/5 ml,Pseudoephedrine + Guaiphenasine + Triprolidine,Ibn Sina Pharmaceuticals Ltd.,100 ml bottle : ৳ 35.00
101,Abiret,250 mg,Abiraterone Acetate,Drug International Ltd.,Unit Price : ৳ 500.00
102,ABO Kit,200 mg+200 mcg,Mifepristone + Misoprostol,Globe Pharmaceuticals Ltd.,5 tablet kit : ৳ 280.00
103,Abolib,60 mg,Ginkgo Biloba,Veritas Pharmaceuticals Ltd.,Unit Price : ৳ 10.00
104,ABpres,0.2%+0.5%,Brimonidine Tartrate + Timolol Maleate,Navana Pharmaceuticals Ltd.,5 ml drop : ৳ 110.00
105,Absol,2 mg/5 ml,Salbutamol,Pharmik Laboratories Ltd.,50 ml bottle : ৳ 10.78
106,AC PR,100 mg,Aceclofenac,Pacific Pharmaceuticals Ltd.,Unit Price : ৳ 4.00
107,Acaril,50 mg,Acarbose,The White Horse Pharma,Unit Price : ৳ 15.00
108,Ace,80 mg/ml,Paracetamol,Square Pharmaceuticals Ltd.,30 ml bottle : ৳ 20.70
109,Ace,500 mg,Paracetamol,Square Pharmaceuticals Ltd.,Unit Price : ৳ 0.80
110,Ace,120 mg/5 ml,Paracetamol,Square Pharmaceuticals Ltd.,60 ml bottle : ৳ 20.70
111,Ace,500 mg,Paracetamol,Square Pharmaceuticals Ltd.,Unit Price : ৳ 8.06
112,Ace,125 mg,Paracetamol,Square Pharmaceuticals Ltd.,Unit Price : ৳ 4.03
113,Ace,250 mg,Paracetamol,Square Pharmaceuticals Ltd.,Unit Price : ৳ 5.03
114,Ace,120 mg/5 ml,Paracetamol,Square Pharmaceuticals Ltd.,60 ml bottle : ৳ 20.70
115,Ace Plus,500 mg+65 mg,Paracetamol + Caffeine,Square Pharmaceuticals Ltd.,Unit Price : ৳ 2.51
116,Ace Power,1000 mg,Paracetamol,Square Pharmaceuticals Ltd.,Unit Price : ৳ 1.39
117,Ace XR,665 mg,Paracetamol,Square Pharmaceuticals Ltd.,Unit Price : ৳ 1.51
118,Ace-Vet,2000 mg,Paracetamol,Square Pharmaceuticals Ltd.,Unit Price : ৳ 2.25
119,Acebid,100 mg,Aceclofenac,Beacon Pharmaceuticals Ltd.,Unit Price : ৳ 4.01
120,Acecard,1.25 mg,Ramipril,Healthcare Pharmaceuticals Ltd.,Unit Price : ৳ 3.00
121,Acecard,2.5 mg,Ramipril,Healthcare Pharmaceuticals Ltd.,Unit Price : ৳ 5.00
122,Acecard,5 mg,Ramipril,Healthcare Pharmaceuticals Ltd.,Unit Price : ৳ 8.00
123,Aceclof,100 mg,Aceclofenac,Premier Pharmaceuticals Ltd.,Unit Price : ৳ 3.00
124,Aceclofen,100 mg,Aceclofenac,Astra Biopharmaceuticals Ltd.,Unit Price : ৳ 3.00
125,Aceclora,100 mg,Aceclofenac,Marksman Pharmaceuticals Ltd.,Unit Price : ৳ 3.02
126,Acecol,100 mg,Aceclofenac,Ziska Pharmaceuticals Ltd.,Unit Price : ৳ 3.00
127,Acedol,100 mg,Aceclofenac,Concord Pharmaceuticals Ltd.,Unit Price : ৳ 4.01
128,Acedol SR,200 mg,Aceclofenac,Concord Pharmaceuticals Ltd.,Unit Price : ৳ 7.00
129,Acedone-Z,250 mg+400 mg,Aluminium Hydroxide + Magnesium Hydroxide,Zenith Pharmaceuticals Ltd.,Unit Price : ৳ 0.42
130,Acedone-Z Plus,400 mg+400 mg+30 mg,Aluminium Hydroxide + Magnesium Hydroxide + Simethicone,Zenith Pharmaceuticals Ltd.,Unit Price : ৳ 1.20
131,Acedone-Z Plus,(400 mg+400 mg+30 mg)/5 ml,Aluminium Hydroxide + Magnesium Hydroxide + Simethicone,Zenith Pharmaceuticals Ltd.,200 ml bottle : ৳ 55.00
132,Acefenac,100 mg,Aceclofenac,General Pharmaceuticals Ltd.,Unit Price : ৳ 4.01
133,Acefra,125 mg/5 ml,Cephradine,Apollo Pharmaceutical Ltd.,100 ml bottle : ৳ 78.00
134,Acefra,500 mg,Cephradine,Apollo Pharmaceutical Ltd.,Unit Price : ৳ 12.00
135,Acegic,100 mg,Aceclofenac,Belsen Pharmaceuticals Ltd.,Unit Price : ৳ 3.00
136,Acelex,125 mg/1.25 ml,Cephalexin,ACME Laboratories Ltd.,15 ml bottle : ৳ 42.66
137,Acelex,250 mg,Cephalexin,ACME Laboratories Ltd.,Unit Price : ৳ 6.60
138,Acelex,500 mg,Cephalexin,ACME Laboratories Ltd.,Unit Price : ৳ 12.50
139,Acelex,125 mg/5 ml,Cephalexin,ACME Laboratories Ltd.,100 ml bottle : ৳ 77.52
140,Acelock,100 mg,Aceclofenac,Bristol Pharmaceuticals Ltd.,Unit Price : ৳ 3.00
141,Acelon,100 mg,Aceclofenac,Central Pharmaceuticals Ltd.,Unit Price : ৳ 3.00
142,Acemox,250 mg,Acetazolamide,ACME Laboratories Ltd.,Unit Price : ৳ 2.00
143,Acenac,100 mg,Aceclofenac,Medicon Pharmaceuticals Ltd.,Unit Price : ৳ 2.73
144,Acenopan,100 mg,Aceclofenac,RN Pharmaceuticals,Unit Price : ৳ 4.00
145,Acep,80 mg/ml,Paracetamol,Zenith Pharmaceuticals Ltd.,15 ml bottle : ৳ 11.00
146,Acep,120 mg/5 ml,Paracetamol,Zenith Pharmaceuticals Ltd.,60 ml bottle : ৳ 16.11
147,Acep,500 mg,Paracetamol,Zenith Pharmaceuticals Ltd.,Unit Price : ৳ 0.80
148,Acep Plus,500 mg+65 mg,Paracetamol + Caffeine,Zenith Pharmaceuticals Ltd.,Unit Price : ৳ 1.50
149,Acepril,10 mg,Lisinopril,Drug International Ltd.,Unit Price : ৳ 7.00
150,Acepril,5 mg,Lisinopril,Drug International Ltd.,Unit Price : ৳ 4.00
151,Acepro,100 mg,Aceclofenac,The White Horse Pharma,Unit Price : ৳ 4.00
152,Aceptin-R,150 mg,Ranitidine Hydrochloride,Asiatic Laboratories Ltd.,Unit Price : ৳ 2.00
153,Aceril,2.5 mg,Ramipril,Ibn Sina Pharmaceuticals Ltd.,Unit Price : ৳ 5.00
154,Aceril,5 mg,Ramipril,Ibn Sina Pharmaceuticals Ltd.,Unit Price : ৳ 8.00
155,Acerux,3%,Acyclovir (Ophthalmic),Opsonin Pharma Ltd.,3 gm tube : ৳ 45.17
156,Acerux,200 mg,Acyclovir (Oral),Opsonin Pharma Ltd.,Unit Price : ৳ 14.05
157,Acerux,5% w/w,Acyclovir (Topical),Opsonin Pharma Ltd.,5 gm tube : ৳ 40.15
158,Acerux,250 mg/vial,Acyclovir (Injection),Opsonin Pharma Ltd.,250 mg vial : ৳ 400.00
159,Acerux,400 mg,Acyclovir (Oral),Opsonin Pharma Ltd.,Unit Price : ৳ 22.00
160,Acerux,200 mg/5 ml,Acyclovir (Oral),Opsonin Pharma Ltd.,70 ml bottle : ৳ 125.47
161,Acerux,800 mg,Acyclovir (Oral),Opsonin Pharma Ltd.,Unit Price : ৳ 30.00
162,Acerux,500 mg/vial,Acyclovir (Injection),Opsonin Pharma Ltd.,500 mg vial : ৳ 700.00
163,Acerux-H,5%+1%,Acyclovir + Hydrocortisone,Opsonin Pharma Ltd.,5 gm tube : ৳ 35.00
164,Aceta,500 mg,Paracetamol,Biopharma Laboratories Ltd.,Unit Price : ৳ 0.80
165,Aceta,120 mg/5 ml,Paracetamol,Biopharma Laboratories Ltd.,60 ml bottle : ৳ 20.63
166,Aceta Extend,665 mg,Paracetamol,Biopharma Laboratories Ltd.,Unit Price : ৳ 1.49
167,Aceta-PD,80 mg/ml,Paracetamol,Biopharma Laboratories Ltd.,15 ml bottle : ৳ 12.34
168,Aceta-T,325 mg+37.5 mg,Paracetamol + Tramadol Hydrochloride,Biopharma Laboratories Ltd.,Unit Price : ৳ 8.00
169,Aceta-X,500 mg+65 mg,Paracetamol + Caffeine,Biopharma Laboratories Ltd.,Unit Price : ৳ 1.92
170,Aceto,500 mg,Paracetamol,Reliance Pharmaceuticals Ltd.,Unit Price : ৳ 0.79
171,Acetor,25 mg,Captopril,Drug International Ltd.,Unit Price : ৳ 3.00
172,Acetram,325 mg+37.5 mg,Paracetamol + Tramadol Hydrochloride,Square Pharmaceuticals Ltd.,Unit Price : ৳ 8.03
173,ACF,100 mg,Aceclofenac,Decent Pharma Laboratories Ltd.,Unit Price : ৳ 4.00
174,Acflam,100 mg,Aceclofenac,Apollo Pharmaceutical Ltd.,Unit Price : ৳ 4.00
175,ACI ORS,10.25 gm,Oral Rehydration Salt [Powder],ACI Limited,Unit Price : ৳ 5.00
176,ACI ORS Fruity,,Oral Rehydration Salt [Flavored],ACI Limited,Unit Price : ৳ 5.00
177,Acicaft,0.25%,Alcaftadine,ACI Limited,5 ml drop : ৳ 400.00
178,Acical,500 mg,Calcium Carbonate,ACI Limited,Unit Price : ৳ 4.01
179,Acical JR,250 mg,Calcium Carbonate,ACI Limited,Unit Price : ৳ 3.01
180,Acical-C,1000 mg+327 mg+500 mg,Calcium Lactate Gluconate + Calcium Carbonate + Vitamin C,ACI Limited,Unit Price : ৳ 11.03
181,Acical-D,500 mg+200 IU,Calcium Carbonate [Elemental source] + Vitamin D3,ACI Limited,Unit Price : ৳ 7.00
182,Acical-DX,600 mg+400 IU,Calcium Carbonate [Elemental source] + Vitamin D3,ACI Limited,Unit Price : ৳ 15.00
183,Acical-MX,,Calcium Carbonate + Vitamin D3 + Multimineral,ACI Limited,Unit Price : ৳ 20.00
184,Aciclon,3%,Acyclovir (Ophthalmic),Reman Drug Laboratories Ltd.,3 gm tube : ৳ 60.00
185,Acicot,0.10%,Dexamethasone Sodium Phosphate (E/E),ACI Limited,5 ml drop : ৳ 65.00
186,Acidron,4 mg/5 ml,Zoledronic Acid [For hypercalcemia],ACI Limited,"4 mg vial : ৳ 5,000.00"
187,Acidrox M,400 mg,Magaldrate,Syntho Laboratories Ltd.,Unit Price : ৳ 1.00
188,Acifix,20 mg,Rabeprazole Sodium,Beximco Pharmaceuticals Ltd.,Unit Price : ৳ 8.00
189,Acifix,20 mg,Rabeprazole Sodium,Beximco Pharmaceuticals Ltd.,Unit Price : ৳ 7.00
190,Aciflox,200 mg,Sparfloxacin,ACI Limited,Unit Price : ৳ 12.00
191,Acilog,100 IU/ml,Protamine Crystallised Insulin Aspart,ACI Limited,3 ml BioPen : ৳ 825.00
192,Acilog,100 IU/ml,Protamine Crystallised Insulin Aspart,ACI Limited,3 ml vial : ৳ 450.00
193,Acilog Mix,30%+70%,Biphasic Insulin Aspart [rDNA],ACI Limited,3 ml biopen : ৳ 825.00
194,Acilog Mix,30%+70%,Biphasic Insulin Aspart [rDNA],ACI Limited,3 ml vial : ৳ 450.00
195,Acin,75 mg/5 ml,Ranitidine Hydrochloride,Biopharma Laboratories Ltd.,100 ml bottle : ৳ 45.30
196,Acin,150 mg,Ranitidine Hydrochloride,Biopharma Laboratories Ltd.,Unit Price : ৳ 2.02
197,Acipam,10 mg,Escitalopram Oxalate,Ibn Sina Pharmaceuticals Ltd.,Unit Price : ৳ 10.00
198,Acipam,5 mg,Escitalopram Oxalate,Ibn Sina Pharmaceuticals Ltd.,Unit Price : ৳ 5.50
199,Aciphin,500 mg/vial,Ceftriaxone Sodium,ACI Limited,500 mg vial : ৳ 130.39
200,Aciphin,2 gm/vial,Ceftriaxone Sodium,ACI Limited,2 gm vial : ৳ 302.04
201,Aciphin,250 mg/vial,Ceftriaxone Sodium,ACI Limited,250 mg vial : ৳ 100.30
202,Aciphin,1 gm/vial,Ceftriaxone Sodium,ACI Limited,1 gm vial : ৳ 191.29
203,Aciphin,1 gm/vial,Ceftriaxone Sodium,ACI Limited,1 gm vial : ৳ 191.29
204,Aciphin,250 mg/vial,Ceftriaxone Sodium,ACI Limited,250 mg vial : ৳ 100.30
205,Aciphin,500 mg/vial,Ceftriaxone Sodium,ACI Limited,500 mg vial : ৳ 130.39
206,Acitrin,2.5 mg/ml,Cetirizine Hydrochloride,ACI Limited,15 ml bottle : ৳ 25.08
207,Acitrin,10 mg,Cetirizine Hydrochloride,ACI Limited,Unit Price : ৳ 3.01
208,Acitrin,5 mg/5 ml,Cetirizine Hydrochloride,ACI Limited,60 ml bottle : ৳ 30.09
209,Acitrin-L,5 mg,Levocetirizine Dihydrochloride,ACI Limited,Unit Price : ৳ 3.01
210,Acitrin-L,2.5 mg/5 ml,Levocetirizine Dihydrochloride,ACI Limited,60 ml bottle : ৳ 55.00
211,Aclasta,5 mg/100 ml,Zoledronic Acid [For osteoporosis],SANDOZ (A Novartis Division),"100 ml bottle : ৳ 33,927.98"
212,Aclene,0.10%,Adapalene,Drug International Ltd.,10 gm tube : ৳ 60.00
213,Aclene Plus,0.1%+2.5%,Adapalene + Benzoyl peroxide,Drug International Ltd.,10 gm tube : ৳ 150.00
214,Acliz,50 mg,Meclizine Hydrochloride,Aristopharma Ltd.,Unit Price : ৳ 2.50
215,Acliz Plus,25 mg+50 mg,Meclizine + Pyridoxine,Aristopharma Ltd.,Unit Price : ৳ 3.00
216,Aclo,100 mg,Aceclofenac,Alco Pharma Ltd.,Unit Price : ৳ 4.00
217,Aclobet,0.05%,Clobetasol Propionate (Topical Preparation),ACME Laboratories Ltd.,10 gm tube : ৳ 50.14
218,Aclobet,0.05%,Clobetasol Propionate (Topical Preparation),ACME Laboratories Ltd.,10 gm tube : ৳ 45.13
219,Aclobet-N,(0.5 mg+5 mg+1 Lac IU)/gm,Clobetasol Propionate + Neomycin Sulphate + Nystatin,ACME Laboratories Ltd.,15 gm tube : ৳ 65.45
220,Aclobet-N,(0.5 mg+5 mg+1 Lac IU)/gm,Clobetasol Propionate + Neomycin Sulphate + Nystatin,ACME Laboratories Ltd.,15 gm tube : ৳ 60.18
221,Aclonac,100 mg,Aceclofenac,Pharmasia Limited,Unit Price : ৳ 4.00
222,Aclopain,100 mg,Aceclofenac,Julphar Bangladesh Ltd.,Unit Price : ৳ 4.00
223,Aclosol,0.05%,Clobetasol Propionate (Topical Preparation),Ad-din Pharmaceuticals Ltd.,10 gm tube : ৳ 45.00
224,Aclovix,100 mg,Aceclofenac,Aexim Pharmaceuticals Ltd.,Unit Price : ৳ 2.50
225,Acme's Basok,,Herbal cough syrup [Vasakarista],ACME Laboratories Ltd.,100 ml bottle : ৳ 65.00
226,Acme's Chyabanprash,,Emblic Myrobalan + Aswagandha + Grape,ACME Laboratories Ltd.,100 gm container : ৳ 110.00
227,Acme's Dextrose,5%,Dextrose,ACME Laboratories Ltd.,500 ml bag : ৳ 71.30
228,Acme's Dextrose DS,10%,Dextrose,ACME Laboratories Ltd.,500 ml bag : ৳ 78.20
229,Acme's DNS,0.9%+5%,Sodium Chloride + Dextrose,ACME Laboratories Ltd.,500 ml bag : ৳ 75.89
230,Acme's Hartmann Solution,,Hartmann's Solution,ACME Laboratories Ltd.,500 ml bag : ৳ 71.30
231,Acme's Mannitol,20%,Mannitol,ACME Laboratories Ltd.,500 ml bottle : ৳ 155.47
232,Acme's Milk of Magnesia,400 mg/5 ml,Magnesium Hydroxide,ACME Laboratories Ltd.,114 ml bottle : ৳ 60.18
233,Acme's Milk of Magnesia Plus,(300 mg+1.25 ml)/5 ml,Magnesium Hydroxide + Liquid Paraffin,ACME Laboratories Ltd.,120 ml bottle : ৳ 95.29
234,Acme's ORS,13.95 gm,Oral Rehydration Salt [Powder],ACME Laboratories Ltd.,Unit Price : ৳ 5.00
235,Acme's Spirulina,450 mg,Spirulina,ACME Laboratories Ltd.,Unit Price : ৳ 4.00
236,Acmecilin,500 mg/vial,Ampicillin,ACME Laboratories Ltd.,500 mg vial : ৳ 27.32
237,Acmecilin,250 mg/vial,Ampicillin,ACME Laboratories Ltd.,250 mg vial : ৳ 19.43
238,Acmecilin,250 mg,Ampicillin,ACME Laboratories Ltd.,Unit Price : ৳ 3.34
239,Acmecilin,125 mg/5 ml,Ampicillin,ACME Laboratories Ltd.,100 ml bottle : ৳ 39.71
240,Acmegra,25 mg,Sildenafil Citrate,ACME Laboratories Ltd.,Unit Price : ৳ 18.06
